Element	English	Norwegian Nynorsk
Copper	From the Latin word <i>cuprum</i>, from the island of Cyprus	Frå det latinske ordet <i>cuprum</i>, frå øya Kypros
Zinc	From the German word <i>Zink</i>, of obscure origin	Frå det tyske ordet <i>Zink</i>, av ukjend opphav
Gallium	From the Latin word <i>Gallia</i>, France; also from Latin, <i>gallus</i>, a translation of Lecoq, a cock	Frå det latinske ordet <i>Gallia</i>, Frankrike; òg frå latin <i>gallus</i>, ei omsetjing av Lecoq, ein hane
Germanium	From the Latin word <i>Germania</i>, Germany	Frå det latinske ordet <i>Germania</i>, Tyskland
Arsenic	From the Latin word <i>arsenicum</i>, Greek <i>arsenikon</i>	Frå det latinske ordet <i>arsenicum</i>, gresk <i>arsenikon</i>
Selenium	From the Greek word <i>Selene</i>, moon	Frå det greske ordet <i>Selene</i>, månen
Bromine	From the Greek word <i>bromos</i>, stench	Frå det greske ordet <i>bromos</i>, stank
Krypton	From the Greek word <i>kryptos</i>, hidden	Frå det greske ordet <i>kryptos</i>, skjult
Rubidium	From the Latin word <i>rubidus</i>, deepest red	Frå det latinske ordet <i>rubidus</i>, djupaste raud
Strontium	Named after Strontian, a town in Scotland	Oppkalla etter Strontian, ein by i Skottland
Yttrium	Named after Ytterby, a village in Sweden near Vauxholm	Oppkalla etter Ytterby, ein landsby i Sverige nær Vauxholm
Zirconium	From the Persian <i>zargun</i>, gold like	Frå persisk <i>zargun</i>, gullaktig
Niobium	Named after Niobe, the daughter of Tantalu	Oppkalla etter Niobe, dotter til Tantalos
Molybdenum	From the Greek word <i>molybdo</i>, lead	Frå det greske ordet <i>molybdo</i>, bly
Technetium	From the Greek word <i>technetos</i>, artificial	Frå det greske ordet <i>technetos</i>, kunstig
Ruthenium	From the Latin word <i>Ruthenia</i>, Russia	Frå det latinske ordet <i>Ruthenia</i>, Russland
Rhodium	From the Greek word <i>rhodon</i>, rose	Frå det greske ordet <i>rhodon</i>, rose
Palladium	Palladium was named after the asteroid Pallas; Pallas was the Greek goddess of wisdom	Palladium vart oppkalla etter asteroiden Pallas; Pallas var den greske gudinne for visdom
Silver	The Latin word for silver is <i>argentum</i>	Det latinske ordet for sølv er <i>argentum</i>
Cadmium	From the Latin word <i>cadmia</i>, Greek <i>kadmeia</i> - the ancient name for calamine, zinc carbonate	Frå det latinske ordet <i>cadmia</i>, gresk <i>kadmeia</i> - det gamle namnet på kalamin, sinkkarbonaat
Indium	From the brilliant indigo line in its spectrum	Frå den klåre indigolinja i spektrumet
Tin	The Latin word for tin is stannum	Det latinske ordet for tinn er stannum
Antimony	From the Greek word <i>anti</i> plus <i>monos</i> - a metal not found alone	Frå dei greske orda <i>anti</i> og <i>monos</i> - eit metall som ikkje finnst åleine
Tellurium	From the Latin word <i>tellus</i>, earth	Frå det latinske ordet <i>tellus</i>, jord
Iodine	From the Greek word <i>iodes</i>, violet	Frå det greske ordet <i>iodes</i>, fiolett
Xenon	From the Greek word <i>xenon</i>, stranger	Frå det greske ordet <i>xenon</i>, framand
Caesium	From the Latin word <i>caesius</i>, sky blue	Frå det latinske ordet <i>caesius</i>, himmelsblå
Barium	From the Greek word <i>barys</i>, heavy	Frå det greske ordet <i>barys</i>, tung
Lanthanum	From the Greek word <i>lanthanein</i>, to lie hidden	Frå det greske ordet <i>lanthanein</i>, å liggja gøymd
Cerium	Cerium was named for the asteroid Ceres	Cerium vart oppkalla etter asteroiden Ceres
Praseodymium	From the Greek word <i>prasios</i>, green, and <i>didymos</i>, twin	Frå dei greske orda <i>prasios</i>, grøn, og <i>didymos</i>, tvilling
Neodymium	From the Greek word <i>neos</i> meaning new, and <i>didymos</i>, twin	Frå dei greske orda <i>neos</i>, ny, og <i>didymos</i>, tvilling
Promethium	Named after the Greek <i>Prometheus</i>, who, according to mythology, stole fire from heaven	Oppkalla etter den greske <i>Prometheus</i>, som ifølgje mytologien stal eld frå himmelen
Samarium	From <i>samarskite</i>, a mineral named after Russian mine official, Col. Samarski	Frå <i>samarskitt</i>, eit mineral oppkalla etter den russiske gruveembetsmannen, oberst Samarski
Europium	Europium was named after Europe	Europium vart oppkalla etter Europa
Gadolinium	From <i>gadolinite</i>, a mineral named for Gadolin, a Finnish chemist	Frå <i>gadolinitt</i>, eit mineral oppkalla etter Gadolin, ein finsk kjemikar
Terbium	Terbium was named after Ytterby, a town in Sweden	Terbium vart oppkalla etter Ytterby, ein by i Sverige
Dysprosium	From the Greek word <i>dysprositos</i>, meaning hard to get at	Frå det greske ordet <i>dysprositos</i>, som tyder vanskeleg å koma til
Holmium	From the Latin word <i>Holmia</i> meaning Stockholm	Frå det latinske ordet <i>Holmia</i> som tyder Stockholm
Erbium	Erbium was named after Ytterby, a town in Sweden	Erbium vart oppkalla etter Ytterby, ein by i Sverige
Thulium	Named after <i>Thule</i>, the earliest name for Scandinavia	Oppkalla etter <i>Thule</i>, det eldste namnet på Skandinavia
Ytterbium	Ytterbium was named after Ytterby, a town in Sweden	Ytterbium vart oppkalla etter Ytterby, ein by i Sverige
Lutetium	Lutetia is the ancient name for Paris	Lutetia er det gamle namnet på Paris
Hafnium	From <i>Hafinia</i>, the Latin name for Copenhagen	Frå <i>Hafinia</i>, det latinske namnet på København
Tantalum	Named after <i>Tantalos</i>, a Greek mythological character, father of Niobe	Oppkalla etter <i>Tantalos</i>, ein figur frå gresk mytologi, far til Niobe
Tungsten	From Swedish, <i>tung sten</i> meaning heavy stone	Frå svensk <i>tung sten</i> som tyder tung stein
Rhenium	From the Latin word <i>Rhenus</i> meaning Rhine	Frå det latinske ordet <i>Rhenus</i> som tyder Rhinen
Osmium	From the Greek word <i>osme</i>, meaning smell	Frå det greske ordet <i>osme</i>, som tyder lukt
Iridium	From the Latin word <i>iris</i> meaning rainbow	Frå det latinske ordet <i>iris</i> som tyder regnboge
Platinum	From the Spanish word <i>platina</i>, meaning silver	Frå det spanske ordet <i>platina</i>, som tyder sølv
Gold	From the Latin word <i>aurum</i> meaning gold	Frå det latinske ordet <i>aurum</i> som tyder gull
Mercury	From the Latin word <i>hydrargyrum</i> meaning liquid silver	Frå det latinske ordet <i>hydrargyrum</i> som tyder flytande sølv
Thallium	From Greek <i>thallos</i>, meanin a green shoot or twig	Frå gresk <i>thallos</i>, som tyder eit grønt skot eller kvist
Lead	From the Latin word <i>plumbum</i>	Frå det latinske ordet <i>plumbum</i>
Bismuth	From the German <i>Weisse Masse</i>, meaning white mass	Frå tysk <i>Weisse Masse</i>, som tyder kvit masse
Polonium	Named after Poland, native country of Madam Curie	Oppkalla etter Polen, heimlandet til fru Curie
Astatine	From the Greek <i>astatos</i> meaning unstable	Frå gresk <i>astatos</i> som tyder ustabil
Radon	The name was derived from <i>radium</i>; called niton at first, from the Latin word <i>nitens</i> meaning shining	Namnet er avleidd frå <i>radium</i>; kalla niton i byrjinga, frå det latinske ordet <i>nitens</i> som tyder skinnande
Francium	Francium was named after France	Francium vart oppkalla etter Frankrike
Radium	From the Latin word <i>radius</i> meaning ray	Frå det latinske ordet <i>radius</i> som tyder stråle
Actinium	From the Greek <i>aktis, aktinos</i>, meaning beam or ray	Frå gresk <i>aktis, aktinos</i>, som tyder stråle eller bjelke
Thorium	Named after <i>Thor</i>, Scandinavian god of war	Oppkalla etter <i>Tor</i>, den nordiske krigsguden
Protactinium	From the Greek <i>protos</i> meaning first	Frå gresk <i>protos</i> som tyder fyrst
Uranium	Named after the planet Uranus	Oppkalla etter planeten Uranus
Neptunium	Named after the planet Neptune	Oppkalla etter planeten Neptun
Plutonium	Named after the planet Pluto	Oppkalla etter planeten Pluto
Americium	Named after America	Oppkalla etter Amerika
Curium	Curium is named after Madame Curie and her husband Pierre Curie	Curium er oppkalla etter fru Curie og mannen hennar Pierre Curie
Berkelium	Named after Berkeley, California, the city of its discovery	Oppkalla etter Berkeley, California, byen der det vart oppdaga
Californium	Named after California and the University of California	Oppkalla etter California og University of California
Einsteinium	Named after Albert Einstein	Oppkalla etter Albert Einstein
Fermium	Named after Nobel laureate Enrico Fermi, one of the pioneers of nuclear physics	Oppkalla etter Nobelprisvinnar Enrico Fermi, ein av pionerane innan kjernefysikk
Mendelevium	Named after Dmitri Mendeleev, who created the Periodic Table	Oppkalla etter Dmitrij Mendeleev, som laga periodesystemet
Nobelium	Named after of Alfred Nobel, Swedish chemist who discovered dynamite and founder of the Nobel Prizes	Oppkalla etter Alfred Nobel, svensk kjemikar som oppdaga dynamitt og grunnleggjaren av Nobelprisane
Lawrencium	Named after Ernest O. Lawrence, inventor of the cyclotron	Oppkalla etter Ernest O. Lawrence, oppfinnaren av syklotronen
Rutherfordium	Named after Ernest Rutherford, the physicist and chemist from New Zealand	Oppkalla etter Ernest Rutherford, fysikaren og kjemikaren frå New Zealand
Dubnium	Named after the Russian town of Dubna	Oppkalla etter den russiske byen Dubna
Seaborgium	Named after Glenn Seaborg, American nuclear chemist and Nobel prize winner	Oppkalla etter Glenn Seaborg, amerikansk kjernekjemikar og Nobelprisvinnar
Bohrium	Named after Niels Bohr, the Danish physicist	Oppkalla etter Niels Bohr, den danske fysikaren
Hassium	From the Latin word <i>Hassias</i> meaning Hess, the German state	Frå det latinske ordet <i>Hassias</i> som tyder Hessen, den tyske delstaten
Meitnerium	Named after Lise Meitner, the Austrian physicist	Oppkalla etter Lise Meitner, den austerrikske fysikaren
Darmstadtium	Named after the German city of Darmstadt	Oppkalla etter den tyske byen Darmstadt
Roentgenium	Named after Wilhelm Conrad Röntgen, the German physicist	Oppkalla etter Wilhelm Conrad Röntgen, den tyske fysikaren
Copernicium	Named after the astronomer Nicolaus Copernicus	Oppkalla etter astronomen Nikolaus Kopernikus
Nihonium	The name comes from the common Japanese name for Japan	Namnet kjem frå det vanlege japanske namnet på Japan
Flerovium	Named after the founder of the Flerov Laboratory of Nuclear Reactions, the Soviet physicist Georgy Flyorov	Oppkalla etter grunnleggjaren av Flerov-laboratoriet for kjernereaksjonar, den sovjetiske fysikaren Georgij Flyorov
Moscovium	Named after Moscow Oblast where Dubna is located	Oppkalla etter Moskva oblast der Dubna ligg
Livermorium	Named after the Lawrence Livermore National Laboratory, within the city of Livermore, California	Oppkalla etter Lawrence Livermore National Laboratory, i byen Livermore, California
Tennessine	Named after the region of Tennessee	Oppkalla etter Tennessee-regionen
Oganesson	Named after the Russian nuclear physicist Yuri Oganessian	Oppkalla etter den russiske kjernefysikaren Jurij Oganessjan
		
Hydrogen	Henry Cavendish was the first to distinguish hydrogen from other gases in 1766 when he prepared it by reacting hydrochloric acid with zinc.<br><br>In 1670, English scientist Robert Boyle had observed its production by reacting strong acids with metals.<br><br>French scientist Antoine Lavoisier later named the element hydrogen in 1783.	Henry Cavendish var den fyrste som skilde hydrogen frå andre gassar i 1766 då han framstilte det ved å la saltsyre reagera med sink.<br><br>I 1670 hadde den engelske vitskapsmannen Robert Boyle observert at det vart danna ved at sterke syrer reagerte med metall.<br><br>Den franske vitskapsmannen Antoine Lavoisier gav seinare grunnstoffet namnet hydrogen i 1783.
Helium	French astronomer Jules Janssen obtained the first evidence of helium during the solar eclipse of 1868.<br><br>Norman Lockyer and Edward Frankland suggested the name helium for the new element.<br><br>In 1895, Sir William Ramsay discovered helium in the uranium mineral cleveite.<br><br>It was independently discovered in cleveite by Per Teodor Cleve and Abraham Langlet.	Den franske astronomen Jules Janssen fekk dei første bevisa på helium under solformørkinga i 1868.<br><br>Norman Lockyer og Edward Frankland foreslo namnet helium for det nye grunnstoffet.<br><br>I 1895 oppdaga Sir William Ramsay helium i uranmineralet kleveitt.<br><br>Det vart uavhengig oppdaga i kleveitt av Per Teodor Cleve og Abraham Langlet.
Lithium	Lithium was discovered by Johann Arfvedson in 1817 when he was analyzing minerals from the island of Uto in Sweden.<br><br>The pure metal was isolated the following year by both Swedish chemist William Thomas Brande and English chemist Sir Humphry Davy working independently.<br><br>In 1855, larger quantities of lithium were produced through the electrolysis of lithium chloride by Robert Bunsen and Augustus Matthiessen.	Litium vart oppdaga av Johann Arfvedson i 1817 då han analyserte mineral frå øya Utö i Sverige.<br><br>Det reine metallet vart isolert året etter av både den svenske kjemikaren William Thomas Brande og den engelske kjemikaren Sir Humphry Davy, som arbeidde uavhengig av kvarandre.<br><br>I 1855 vart større mengder litium framstilte gjennom elektrolyse av litiumklorid av Robert Bunsen og Augustus Matthiessen.
Beryllium	Louis-Nicolas Vauquelin discovered beryllium in the oxide form in both beryl and emeralds in 1798.<br><br>Friedrich Wöhler and Antoine Bussy independently isolated beryllium in 1828 by the chemical reaction of metallic potassium with beryllium chloride.<br><br>The first commercially-successful process for producing beryllium was developed in 1932 by Alfred Stock and Hans Goldschmidt.	Louis-Nicolas Vauquelin oppdaga beryllium i oksidform i både beryll og smaragdar i 1798.<br><br>Friedrich Wöhler og Antoine Bussy isolerte uavhengig beryllium i 1828 ved kjemisk reaksjon mellom metallisk kalium og berylliumklorid.<br><br>Den første kommersielt vellykkja prosessen for å framstille beryllium vart utvikla i 1932 av Alfred Stock og Hans Goldschmidt.
Boron	Boron compounds have been known for thousands of years, but the element was not discovered until 1808 by Sir Humphry Davy and by Gay-Lussac and Thenard.<br><br>Boron was not recognized as an element until it was isolated in 1808 by Sir Humphry Davy and by Joseph Louis Gay-Lussac and Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identified boron as an element in 1824.	Borforbindelsar har vore kjende i tusenvis av år, men grunnstoffet vart ikkje oppdaga før i 1808 av Sir Humphry Davy og av Gay-Lussac og Thénard.<br><br>Bor vart ikkje anerkjent som eit grunnstoff før det vart isolert i 1808 av Sir Humphry Davy og av Joseph Louis Gay-Lussac og Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identifiserte bor som eit grunnstoff i 1824.
Carbon	Carbon was discovered in prehistory and was known in the forms of soot and charcoal to the earliest human civilizations.<br><br>In 1772, Antoine Lavoisier showed that diamonds are a form of carbon; when he burned samples of charcoal and diamond and found that neither produced any water.<br><br>In 1779, Carl Wilhelm Scheele showed that graphite burned to form carbon dioxide and so must be another form of carbon.	Karbon vart oppdaga i forhistorisk tid og var kjend i form av sot og trekol for dei tidlegaste menneskelege sivilisasjonane.<br><br>I 1772 viste Antoine Lavoisier at diamantar er ein form for karbon; då han brende prøvar av trekol og diamant og fann at ingen av dei produserte vatn.<br><br>I 1779 viste Carl Wilhelm Scheele at grafitt brann og danna karbondioksid og difor måtte vera ein annan form for karbon.
Nitrogen	Nitrogen is considered to have been discovered by Scottish physician Daniel Rutherford in 1772, who called it noxious air or fixed air.<br><br>It was also studied at about the same time by Carl Wilhelm Scheele, Henry Cavendish and Joseph Priestley.<br><br>In 1790 the French chemist Jean-Antoine-Claude Chaptal named the element nitrogen.	Nitrogen vert rekna for å ha vorte oppdaga av den skotske lækjaren Daniel Rutherford i 1772, som kalla det skadeleg luft eller fast luft.<br><br>Det vart òg studert om lag samstundes av Carl Wilhelm Scheele, Henry Cavendish og Joseph Priestley.<br><br>I 1790 gav den franske kjemikaren Jean-Antoine-Claude Chaptal grunnstoffet namnet nitrogen.
Oxygen	Carl Wilhelm Scheele obtained oxygen by heating mercuric oxide and nitrates in 1771, but did not publish his findings until 1777.<br><br>Joseph Priestley also prepared this new air by 1774.<br><br>The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion.	Carl Wilhelm Scheele fekk oksygen ved å varme opp kvikksølvoksid og nitratar i 1771, men publiserte ikkje funna sine før i 1777.<br><br>Joseph Priestley framstilte òg denne nye lufta innan 1774.<br><br>Namnet oksygen vart laga av Antoine Lavoisier i 1777, der eksperimenta hans med oksygen hjelpte til å avkrefte den dåverande populære flogistonteorien om forbrenning og korrosjon.
Fluorine	In 1529, Georigius Agricola described the use of fluorspar as a flux.<br><br>In 1670 Heinrich Schwandhard found that glass was etched when exposed to fluorspar treated with acid.<br><br>In 1810, French scientist Andre-Marie Ampere proposed that fluoric acid was a compound of hydrogen with a new element.<br><br>The element was finally isolated in 1886 by Henri Moissan.	I 1529 skildra Georgius Agricola bruken av flusspat som fluss.<br><br>I 1670 fann Heinrich Schwandhard at glas vart etsa når det vart utsett for flusspat behandla med syre.<br><br>I 1810 foreslo den franske vitskapsmannen André-Marie Ampère at flussyre var ei forbinding av hydrogen med eit nytt grunnstoff.<br><br>Grunnstoffet vart endeleg isolert i 1886 av Henri Moissan.
Neon	Neon was discovered in 1898 by the British chemists Sir William Ramsay and Morris W. Travers in London.<br><br>It was discovered when Ramsay chilled a sample of air until it became a liquid, then warmed the liquid and captured the gases as they boiled off.<br><br>After 1902, Georges Claude's company, Air Liquide, was producing industrial quantities of neon as a byproduct of his air liquefaction business.	Neon vart oppdaga i 1898 av dei britiske kjemikarane Sir William Ramsay og Morris W. Travers i London.<br><br>Det vart oppdaga då Ramsay kjølte ned ei luftprøve til ho vart flytande, deretter varma han opp væska og samla opp gassane ettersom dei kokte av.<br><br>Etter 1902 produserte Georges Claudes selskap, Air Liquide, industrielle mengder neon som eit biprodukt av luftforgassingsbusinesessen hans.
Sodium	The chemical abbreviation for sodium was first published by Jöns Jakob Berzelius in his system of atomic symbols.<br><br>It is a contraction of the element's new Latin name <i>natrium</i>, which refers to the Egyptian <i>natron</i>, a natural mineral salt primarily made of hydrated sodium carbonate.<br><br>In 1807, Sir Humphry Davy isolated sodium for the first time by electrolysis of dried sodium hydroxide, which had been very slightly moistened.	Den kjemiske forkortinga for natrium vart fyrst publisert av Jöns Jakob Berzelius i systemet hans for atomsymbol.<br><br>Det er ei forkorting av det nye latinske namnet på grunnstoffet <i>natrium</i>, som viser til det egyptiske <i>natron</i>, eit naturleg mineralsalt som hovudsakleg er laga av hydrert natriumkarbonat.<br><br>I 1807 isolerte Sir Humphry Davy natrium for fyrste gong ved elektrolyse av tørka natriumhydroksid som hadde vorte svakt fuktast.
Magnesium	Scottish chemist Joseph Black recognized magnesium as an element in 1755.<br><br>Magnesium was first isolated by Sir Humphry Davy in 1808, in London.<br><br>He used electrolysis on a mixture of magnesia and mercuric oxide.<br><br>Antoine Bussy prepared it in coherent form in 1831.	Den skotske kjemikaren Joseph Black anerkjende magnesium som eit grunnstoff i 1755.<br><br>Magnesium vart fyrst isolert av Sir Humphry Davy i 1808 i London.<br><br>Han nytta elektrolyse på ei blanding av magnesia og kvikksølvoksid.<br><br>Antoine Bussy framstilte det i samanhengande form i 1831.
Aluminium	In 1761, Guyton de Morveau proposed the name alumine for the base in alum, and Antoine Lavoisier, in 1787, thought this to be the oxide of a still undiscovered metal.<br><br>Sir Humphry Davy identified the existence of a metal base of alum in 1808.<br><br>Hans Christian Ørsted was the first to isolate metallic aluminum in 1825 in impure form.<br><br>Friedrich Wöhler is generally credited with having isolated the metal in 1827.	I 1761 foreslo Guyton de Morveau namnet alumine for basen i alun, og Antoine Lavoisier meinte i 1787 at dette var oksid av eit enno uoppdaga metall.<br><br>Sir Humphry Davy identifiserte eksistensen av ein metallisk base i alun i 1808.<br><br>Hans Christian Ørsted var den fyrste som isolerte metallisk aluminium i 1825 i ureint form.<br><br>Friedrich Wöhler vert vanlegvis kreditert for å ha isolert metallet i 1827.
Silicon	In 1800, Sir Humphry Davy thought silica to be a compound and not an element; but in 1811, Gay Lussac and Louis Jacques Thénard probably prepared impure amorphous silicon by heating potassium with silicon tetrafluoride.<br><br>In 1824 Jöns Jakob Berzelius prepared amorphous silicon by the same general method.<br><br>Henri Deville in 1854 first prepared crystalline silicon, the second allotropic form of the element.	I 1800 meinte Sir Humphry Davy at silika var ei forbinding og ikkje eit grunnstoff; men i 1811 framstilte Gay-Lussac og Louis Jacques Thénard truleg ureint amorf silisium ved å varme kalium med silisiumtetrafluorid.<br><br>I 1824 framstilte Jöns Jakob Berzelius amorf silisium ved same generelle metode.<br><br>Henri Deville framstilte i 1854 for fyrste gong krystallinsk silisium, den andre allotropiske forma av grunnstoffet.
Phosphorus	Hennig Brand discovered phosphorus in 1669, in Hamburg, Germany, preparing it from urine.<br><br>In 1769, Johan Gottlieb Gahn and Carl Wilhelm Scheele showed that calcium phosphate is found in bones, and they obtained elemental phosphorus from bone ash.<br><br>Antoine Lavoisier recognized phosphorus as an element in 1777.	Hennig Brand oppdaga fosfor i 1669 i Hamburg, Tyskland, og framstilte det frå urin.<br><br>I 1769 viste Johan Gottlieb Gahn og Carl Wilhelm Scheele at kalsiumfosfat finst i bein, og dei fekk elementært fosfor frå beineoske.<br><br>Antoine Lavoisier anerkjende fosfor som eit grunnstoff i 1777.
Sulfur	By the 3rd century, the Chinese discovered that sulfur could be extracted from pyrite.<br><br>Indian alchemists wrote extensively about the use of sulfur in alchemical operations with mercury, from the eighth century AD onwards.<br><br>In 1777, Antoine Lavoisier helped convince the scientific community that sulfur was an element, not a compound.	På 300-talet oppdaga kinesarane at svovel kunne trekkjast ut frå pyritt.<br><br>Indiske alkemistar skreiv mykje om bruken av svovel i alkemiske operasjonar med kvikksølv, frå det åttande hundreåret e.Kr. og framover.<br><br>I 1777 hjelpte Antoine Lavoisier med å overtyde det vitskaplege miljøet om at svovel var eit grunnstoff, ikkje ei forbinding.
Chlorine	Around 1630, chlorine was recognized as a gas by the Belgian chemist and physician Jan Baptist van Helmont.<br><br>Elemental chlorine was first prepared and studied in 1774 by Swedish chemist Carl Wilhelm Scheele.<br><br>By 1810, the scientific consensus was that chlorine was actually a compound that contained oxygen.<br><br>In 1811, Sir Humphry Davy concluded the new gas was in fact a new element.	Rundt 1630 vart klor anerkjent som ein gass av den belgiske kjemikaren og lækjaren Jan Baptist van Helmont.<br><br>Elementært klor vart fyrst framstilt og studert i 1774 av den svenske kjemikaren Carl Wilhelm Scheele.<br><br>Innan 1810 var det vitskapleg semje om at klor eigentleg var ei forbinding som inneheldt oksygen.<br><br>I 1811 konkluderte Sir Humphry Davy med at den nye gassen faktisk var eit nytt grunnstoff.
Argon	Argon was suspected to be present in air by Henry Cavendish in 1785.<br><br>It was not isolated until 1894 by Lord Rayleigh and Sir William Ramsay in Scotland.<br><br>Argon became the first member of the noble gases to be discovered.<br><br>In 1957, IUPAC agreed that the symbol should change from A to Ar.	Henry Cavendish mistenkte at argon var til stades i luft i 1785.<br><br>Det vart ikkje isolert før i 1894 av Lord Rayleigh og Sir William Ramsay i Skottland.<br><br>Argon vart det fyrste edel-gass-grunnstoffet som vart oppdaga.<br><br>I 1957 vart IUPAC samde om at symbolet burde endrast frå A til Ar.
Potassium	Potassium's symbol K comes from 'kalium' the name of the element in Germany and Scandinavia.<br><br>Potassium metal was first isolated in 1807 by Sir Humphry Davy, who derived it from caustic potash by the use of electrolysis of the molten salt with the newly discovered voltaic pile.<br><br>Potassium was the first metal that was isolated by electrolysis.	Symbolet til kalium, K, kjem frå 'kalium', namnet på grunnstoffet i Tyskland og Skandinavia.<br><br>Metallisk kalium vart fyrst isolert i 1807 av Sir Humphry Davy, som fekk det frå kaustisk potas ved elektrolyse av det smelta saltet med den nyleg oppdaga voltasøyla.<br><br>Kalium var det fyrste metallet som vart isolert ved elektrolyse.
Calcium	Calcium was known as early as the first century when the Ancient Romans prepared lime as calcium oxide.<br><br>Calcium was first isolated by Sir Humphry Davy in 1808 when he electrolyzed a mixture of lime and mercuric oxide.<br><br>Davy was trying to isolate calcium; when he heard that Jöns Jakob Berzelius and Pontin prepared calcium amalgam by electrolyzing lime in mercury, he tried it himself.	Kalsium var kjent allereie i det fyrste hundreåret då dei gamle romarane framstilte kalk som kalsiumoksid.<br><br>Kalsium vart fyrst isolert av Sir Humphry Davy i 1808 då han elektrolyserte ei blanding av kalk og kvikksølvoksid.<br><br>Davy prøvde å isolere kalsium; då han høyrde at Jöns Jakob Berzelius og Pontin hadde framstilt kalsiumamalgam ved å elektrolysere kalk i kvikksølv, prøvde han det sjølv.
