Key	English
idealGasNote	Leave one field blank. R = 0.082057 L·atm·mol⁻¹·K⁻¹ (use atm, L, mol, K).
percentYield	Percent Yield Calculator
percentYieldIntro	Fill any two of actual / theoretical / percent yield to solve the third.
yieldActual	Actual yield (g)
yieldTheoretical	Theoretical yield (g)
yieldPercent	Percent yield (%)
yieldNote	Leave one field blank to solve for it.
halfLifeCalc	Half-Life Calculator
halfLifeIntro	Radioactive decay N = N₀ · (½)^(t / t½). Fill any three to solve the fourth. A Pro feature.
halfLifeN0	Initial amount (N₀)
halfLifeN	Remaining amount (N)
halfLifeT	Elapsed time
halfLifeHalf	Half-life (same time unit)
halfLifeNote	Leave one field blank. Use the same time unit for elapsed time and half-life.
halfLifeProTitle	Half-life calculator is a Pro feature
halfLifeProText	Solve decay problems instantly, ad-free.
phCalc	pH Calculator
phCalcIntro	Enter any one of pH, pOH, [H⁺] or [OH⁻] to get the rest.
phCalcPh	pH
phCalcPoh	pOH
phCalcH	[H⁺] (mol/L)
phCalcOh	[OH⁻] (mol/L)
phCalcNote	Enter any one value to get the rest. Assumes 25 °C (Kw = 1.0×10⁻¹⁴).
polyatomicIons	Polyatomic Ions
polyatomicIonsIntro	Common polyatomic ions with their formulas and charges.
ionName	Name
ionFormula	Formula
ionCharge	Charge
ionAmmonium	Ammonium
ionHydronium	Hydronium
ionHydroxide	Hydroxide
ionNitrate	Nitrate
ionNitrite	Nitrite
ionBicarbonate	Hydrogen carbonate (bicarbonate)
ionAcetate	Acetate
ionCyanide	Cyanide
ionPermanganate	Permanganate
ionHypochlorite	Hypochlorite
ionChlorite	Chlorite
ionChlorate	Chlorate
ionPerchlorate	Perchlorate
ionCarbonate	Carbonate
ionSulfate	Sulfate
ionSulfite	Sulfite
ionChromate	Chromate
ionDichromate	Dichromate
ionOxalate	Oxalate
ionThiosulfate	Thiosulfate
ionPeroxide	Peroxide
ionSilicate	Silicate
ionPhosphate	Phosphate
ionPhosphite	Phosphite
ionBorate	Borate
acidsBases	Common Acids & Bases
acidsBasesIntro	Common acids and bases with their formulas and strength.
abName	Name
abFormula	Formula
abType	Type
abStrongAcid	Strong acid
abWeakAcid	Weak acid
abStrongBase	Strong base
abWeakBase	Weak base
abHydrochloric	Hydrochloric acid
abSulfuric	Sulfuric acid
abNitric	Nitric acid
abHydrobromic	Hydrobromic acid
abHydroiodic	Hydroiodic acid
abPerchloric	Perchloric acid
abPhosphoric	Phosphoric acid
abAcetic	Acetic acid
abCarbonic	Carbonic acid
abHydrofluoric	Hydrofluoric acid
abCitric	Citric acid
abSodiumHydroxide	Sodium hydroxide
abPotassiumHydroxide	Potassium hydroxide
abLithiumHydroxide	Lithium hydroxide
abCalciumHydroxide	Calcium hydroxide
abBariumHydroxide	Barium hydroxide
abAmmonia	Ammonia
abSodiumBicarbonate	Sodium bicarbonate
flameTest	Flame Test Colours
flameTestIntro	Characteristic flame colours used to identify metal ions.
ftElement	Element
ftColor	Flame colour
ftCrimson	Crimson red
ftYellow	Intense yellow
ftLilac	Lilac (violet)
ftRedViolet	Red-violet
ftBlueViolet	Blue-violet
ftOrangeRed	Orange-red
ftScarlet	Crimson (scarlet)
ftPaleGreen	Pale green
ftBlueGreen	Blue-green
ftBrightGreen	Bright green
ftBluishWhite	Bluish white
ftBrilliantWhite	Brilliant white
propertyRankings	Property Rankings
propertyRankingsIntro	Rank every element by a property, from highest to lowest.
trendRankBy	Rank by
trendToggleOrder	Toggle order
trendElement	Element
trendSymbol	Symbol
propElectronegativity	Electronegativity
propAtomicWeight	Atomic Weight
propDensity	Density
propMelting	Melting Point
propBoiling	Boiling Point
propAtomicRadius	Atomic Radius
propIonization	First Ionization Energy
propElectronAffinity	Electron Affinity
propThermal	Thermal Conductivity
